date,ticker,open,high,low,close,volume
2018-09-12,DJI,25989.0703125,26145.720703125,25929.4296875,25998.919921875,282770000
2018-09-13,DJI,26083.939453125,26191.640625,26067.080078125,26145.990234375,260800000
2018-09-14,DJI,26169.560546875,26211.109375,26068.2890625,26154.669921875,228640000
2018-09-17,DJI,26151.66015625,26184.470703125,26030.349609375,26062.119140625,230230000
2018-09-18,DJI,26076.2109375,26317.33984375,26076.2109375,26246.9609375,243000000
2018-09-19,DJI,26287.83984375,26464.41015625,26280.759765625,26405.759765625,251330000
2018-09-20,DJI,26519.390625,26697.490234375,26519.390625,26656.98046875,260480000
2018-09-21,DJI,26726.25,26769.16015625,26680.369140625,26743.5,657620000
2018-09-24,DJI,26705.25,26709.939453125,26548.6796875,26562.05078125,254850000
2018-09-25,DJI,26601.580078125,26634.849609375,26475.580078125,26492.2109375,234110000
2018-09-26,DJI,26536.859375,26606.08984375,26349.33984375,26385.279296875,262620000
2018-09-27,DJI,26418.26953125,26557.009765625,26379.94921875,26439.9296875,226350000
2018-09-28,DJI,26407.66015625,26515.759765625,26383.5703125,26458.310546875,264030000
2018-10-01,DJI,26598.359375,26737.98046875,26596.05078125,26651.2109375,238320000
2018-10-02,DJI,26648.91015625,26824.779296875,26627.66015625,26773.939453125,258290000
2018-10-03,DJI,26833.470703125,26951.810546875,26789.080078125,26828.390625,280130000
2018-10-04,DJI,26784.080078125,26793.8203125,26471.609375,26627.48046875,289600000
2018-10-05,DJI,26632.76953125,26676.16015625,26301.810546875,26447.05078125,267100000
2018-10-08,DJI,26399.44921875,26529.349609375,26223.08984375,26486.779296875,273020000
2018-10-09,DJI,26469.189453125,26539.939453125,26324.16015625,26430.5703125,282560000
2018-10-10,DJI,26441.73046875,26487.869140625,25567.099609375,25598.740234375,438200000
2018-10-11,DJI,25518.390625,25683.640625,24899.76953125,25052.830078125,522880000
2018-10-12,DJI,25407.630859375,25467.55078125,25000.830078125,25339.990234375,397510000
2018-10-15,DJI,25332.4609375,25482.419921875,25243.880859375,25250.55078125,287320000
2018-10-16,DJI,25351.529296875,25817.6796875,25351.529296875,25798.419921875,305800000
2018-10-17,DJI,25705.869140625,25810.08984375,25479.16015625,25706.6796875,298210000
2018-10-18,DJI,25645.560546875,25691.4609375,25236.009765625,25379.44921875,328020000
2018-10-19,DJI,25421.08984375,25608.7109375,25350.01953125,25444.33984375,350810000
2018-10-22,DJI,25492.140625,25561.33984375,25236.05078125,25317.41015625,314940000
2018-10-23,DJI,25038.4609375,25307.69921875,24768.7890625,25191.4296875,436430000
2018-10-24,DJI,25172.880859375,25306.23046875,24533.189453125,24583.419921875,496400000
2018-10-25,DJI,24736.5390625,25104.2890625,24645.560546875,24984.55078125,439670000
2018-10-26,DJI,24770.25,24916.16015625,24445.189453125,24688.310546875,505310000
2018-10-29,DJI,24818.98046875,25040.580078125,24122.23046875,24442.919921875,443850000
2018-10-30,DJI,24482.0390625,24906.6796875,24415.689453125,24874.640625,470050000
2018-10-31,DJI,25008.8203125,25336.55078125,25008.8203125,25115.759765625,448930000
2018-11-01,DJI,25142.080078125,25396.470703125,25108.109375,25380.740234375,383970000
2018-11-02,DJI,25443.599609375,25578.98046875,25078.720703125,25270.830078125,429480000
2018-11-05,DJI,25261.470703125,25507.349609375,25261.470703125,25461.69921875,334740000
2018-11-06,DJI,25452.830078125,25651.859375,25444.900390625,25635.009765625,265450000
2018-11-07,DJI,25788.4609375,26200.140625,25765.880859375,26180.30078125,361780000
2018-11-08,DJI,26139.58984375,26277.8203125,26081.900390625,26191.220703125,295650000
2018-11-09,DJI,26149.109375,26161.490234375,25882.91015625,25989.30078125,324450000
2018-11-12,DJI,25959.330078125,25966.7109375,25340.509765625,25387.1796875,346910000
2018-11-13,DJI,25321.2109375,25511.029296875,25193.779296875,25286.490234375,339690000
2018-11-14,DJI,25388.080078125,25501.2890625,24935.8203125,25080.5,384240000
2018-11-15,DJI,25061.48046875,25354.560546875,24787.7890625,25289.26953125,392750000
2018-11-16,DJI,25242.349609375,25510.23046875,25147.80078125,25413.220703125,354460000
2018-11-19,DJI,25392.609375,25392.609375,24900.98046875,25017.439453125,358090000
2018-11-20,DJI,24618.6796875,24707.259765625,24368.98046875,24465.640625,445920000
2018-11-21,DJI,24541.650390625,24669.7890625,24463.279296875,24464.689453125,289370000
2018-11-23,DJI,24336.400390625,24408.80078125,24268.740234375,24285.94921875,155940000
2018-11-26,DJI,24364.130859375,24673.2890625,24364.130859375,24640.240234375,306280000
2018-11-27,DJI,24557.01953125,24750.73046875,24416.029296875,24748.73046875,308250000
2018-11-28,DJI,24832.83984375,25368.9296875,24832.83984375,25366.4296875,362160000
2018-11-29,DJI,25343.650390625,25479.0390625,25202.7890625,25338.83984375,305110000
2018-11-30,DJI,25307.140625,25549.7109375,25250.970703125,25538.4609375,482250000
2018-12-03,DJI,25779.5703125,25980.2109375,25670.509765625,25826.4296875,388480000
2018-12-04,DJI,25752.560546875,25773.119140625,25008.109375,25027.0703125,418900000
2018-12-06,DJI,24737.419921875,24951.009765625,24242.220703125,24947.669921875,471690000
2018-12-07,DJI,24918.8203125,25095.619140625,24284.779296875,24388.94921875,398230000
2018-12-10,DJI,24360.94921875,24500.810546875,23881.369140625,24423.259765625,389690000
2018-12-11,DJI,24719.91015625,24791.259765625,24221.060546875,24370.240234375,342960000
2018-12-12,DJI,24509.08984375,24828.2890625,24509.08984375,24527.26953125,344330000
2018-12-13,DJI,24575.859375,24740.9609375,24473.2890625,24597.380859375,299970000
2018-12-14,DJI,24408.0390625,24431.140625,24033.7890625,24100.509765625,416940000
2018-12-17,DJI,23986.830078125,24088.080078125,23456.880859375,23592.98046875,466740000
2018-12-18,DJI,23769.130859375,23927.76953125,23516.01953125,23675.640625,408070000
2018-12-19,DJI,23693.330078125,24057.33984375,23162.640625,23323.66015625,503550000
2018-12-20,DJI,23224.119140625,23282.19921875,22644.310546875,22859.599609375,576700000
2018-12-21,DJI,22871.740234375,23254.58984375,22396.33984375,22445.369140625,900510000
2018-12-24,DJI,22317.279296875,22339.869140625,21792.19921875,21792.19921875,308420000
2018-12-26,DJI,21857.73046875,22878.919921875,21712.529296875,22878.44921875,433080000
2018-12-27,DJI,22629.060546875,23138.890625,22267.419921875,23138.8203125,407940000
2018-12-28,DJI,23213.609375,23381.880859375,22981.330078125,23062.400390625,336510000
